"Nome Fornecedor";"Cod. Fornecedor";Email;Telefone;"Conta Plano Contas";Website;"Data Criação";Categoria;"Data Modificação";"Última Edição";Responsável;"Criado Por";Rua;Cidade;Distrito;"Cód Postal";País;Descrição
Dimatur;FOR0001;luislopes@dimatur.pt;912266635;;https://www.dimatur.pt/;"26-01-2024 21:03:35";;"26-01-2024 21:03:35";admin;admin;admin;;;;;;
CTT;FOR0002;;;;;"02-02-2024 15:54:07";;"02-02-2024 15:54:07";marcop;marcop;marcop;;;;;;
Aliexpress;FOR0003;;;;;"07-02-2024 20:45:01";;"07-09-2024 16:12:31";marcop;marcop;marcop;;;;;;
"Leroy Merlin";FOR0004;;;;;"09-02-2024 22:26:06";;"09-02-2024 22:26:06";marcop;marcop;marcop;;;;;;
"JMR Madeira e Derivados";FOR0005;;252993325;;joaquimmribeiro.pt;"14-02-2024 17:24:17";;"14-02-2024 18:20:56";marcop;marcop;marcop;;;;;;
"Diogo Ribeiro";FOR0006;;918811255;;;"14-02-2024 19:29:35";;"14-02-2024 19:29:35";marcop;marcop;marcop;;;;;;
"J.M.M Gonçalves, LDA";FOR0007;jmm@jmm.pt;252840500;;;"15-02-2024 11:05:23";;"15-02-2024 11:11:25";marcop;marcop;marcop;;;;;;
Facebook;FOR0008;;;;;"23-02-2024 22:43:44";;"23-02-2024 22:43:44";marcop;marcop;marcop;;;;;;
MaxiBiju;FOR0009;;;;;"10-03-2024 16:03:43";;"10-03-2024 16:03:43";josep;josep;josep;;;;;;
FaçoBiju;FOR0010;;;;;"10-03-2024 18:06:33";;"10-03-2024 18:06:33";josep;josep;josep;;;;;;
"Keep's Paper";FOR0011;;;;;"10-03-2024 19:42:59";;"10-03-2024 19:42:59";josep;josep;josep;;;;;;"geral@twob.pt
www.twob.pt"
"Mais Brindes";FOR0012;geral@maisbrindes.pt;302055960;;https://www.maisbrindes.pt/pt/dashboard;"02-04-2024 21:56:45";;"02-04-2024 21:56:45";marcop;marcop;marcop;;;;;;
Bolama;FOR0013;;;;;"06-04-2024 15:13:33";;"06-04-2024 15:13:33";josep;josep;josep;;;;;;
"Happy Store";FOR0014;;;;;"06-04-2024 16:54:20";;"06-04-2024 16:54:20";josep;josep;josep;;;;;;Vermoim
E.Leclerc;FOR0015;;;;;"12-04-2024 20:09:26";;"12-04-2024 20:09:26";marcop;marcop;marcop;;;;;;
Agropires;FOR0016;;;;;"18-04-2024 18:27:35";;"18-04-2024 18:27:35";josep;josep;josep;;;;;;
Pixarprinting;FOR0017;;;;;"18-04-2024 18:56:51";;"18-04-2024 18:56:51";josep;marcop;josep;;;;;;
"360 Imprimir";FOR0018;;;;;"30-04-2024 19:14:18";;"30-04-2024 19:14:18";marcop;marcop;marcop;;;;;;
Sermama;FOR0019;;;;;"30-04-2024 19:24:46";;"30-04-2024 19:24:46";marcop;marcop;marcop;;;;;;
qr-code-generator;FOR0020;failed-payments@qr-code-generator.com;;;;"30-04-2024 21:16:26";;"30-04-2024 21:16:26";marcop;marcop;marcop;;;;;;
"El Corte Ingles";FOR0021;;;;;"02-05-2024 14:11:36";;"02-05-2024 14:11:36";marcop;marcop;marcop;;;;;;
"Drogaria da Ponte";FOR0022;;;;;"09-05-2024 19:49:45";;"09-05-2024 19:56:40";marcop;marcop;marcop;;;;;;
Temu;FOR0024;;;;;"16-05-2024 18:49:35";;"16-05-2024 18:49:35";marcop;marcop;marcop;;;;;;
"Imagin Art";FOR0025;;;;;"16-05-2024 19:01:07";;"16-05-2024 19:02:33";marcop;marcop;marcop;;;;;;
Digipaper;FOR0026;digipaper.dp@gmail.com;918671159;;;"04-07-2024 21:54:41";;"04-07-2024 21:54:41";marcop;marcop;marcop;;;;;;
"Maquinas Publicidade";FOR0027;sercargoracing@hotmail.com;962595012;;;"08-08-2024 19:37:05";;"08-08-2024 19:37:05";marcop;marcop;marcop;;;;;;
"333 Colors";FOR0028;geral@333colors.com;232247828;;;"08-08-2024 19:40:43";;"08-08-2024 19:40:43";marcop;marcop;marcop;;;;;;
Luzacril;FOR0029;geral@luzacril.pt;;;;"29-08-2024 14:44:54";;"29-08-2024 14:44:54";marcop;marcop;marcop;;;;;;
"BNI Conquistadores";FOR0030;;;;;"20-09-2024 21:28:49";;"20-09-2024 21:28:49";marcop;marcop;marcop;;;;;;
Makito;FOR0031;;;;;"08-10-2024 13:53:40";;"08-10-2024 13:53:40";marcop;marcop;marcop;;;;;;
"Radio Popular";FOR0032;;;;;"14-10-2024 15:35:16";;"14-10-2024 15:35:16";marcop;marcop;marcop;;;;;;
Tranquilidade;FOR0033;;;;;"13-11-2024 16:20:16";;"13-11-2024 16:21:41";marcop;marcop;marcop;;;;;;
"Securitas Direct";FOR0034;;910087876;;;"16-11-2024 10:30:02";;"16-11-2024 10:32:26";josep;marcop;josep;;;;;;"Comercial Susana 910087876
Linha Apoio 211939939"
Ptdesign;FOR0035;comercial@ptdesign.pt;;;;"16-11-2024 11:56:05";;"16-11-2024 11:56:05";marcop;marcop;marcop;;;;;;
"Positivo Risco";FOR0036;;253006977;;;"18-01-2025 10:27:21";;"18-01-2025 10:27:21";marcop;marcop;marcop;;;;;;
Amazon;FOR0037;;;;;"05-02-2025 17:29:56";;"05-02-2025 17:29:56";marcop;marcop;marcop;;;;;;
Kriarte;FOR0038;;;;;"01-07-2025 17:39:04";;"01-07-2025 17:39:04";marcop;marcop;marcop;;;;;;
Pubeivil;FOR0039;encomendas@pubeivil.pt;;;roly.pt;"09-07-2025 11:20:49";;"15-04-2026 12:45:17";marcop;marcop;marcop;"Quinta da Junceira - E. N. 115";Cadaval;;2550-171;Portugal;
"Bambu Lab";FOR0040;;;;;"23-08-2025 11:29:37";;"23-08-2025 11:40:08";marcop;marcop;marcop;;;;;;
"TH Clothes";FOR0041;vasco.oliveira@thclothes.com;962079199;;;"06-10-2025 14:56:58";;"06-10-2025 14:56:58";marcop;marcop;marcop;;;;;;
"Arte Vinil";FOR0042;artevinil33@gmail.com;"'+351 965 496 696";;;"23-10-2025 15:32:31";;"15-05-2026 15:46:42";marcop;marcop;marcop;;;"Riba d' Ave";;;
Ambar;FOR0043;;;;;"30-12-2025 11:11:51";;"30-12-2025 11:11:51";marcop;marcop;marcop;;;;;;
Adivin;FOR0044;;;;;"06-03-2026 11:11:39";;"06-03-2026 11:11:39";marcop;marcop;marcop;;;;;;
