"Nome Produto";"Nº Produto";"Produto Ativo";"Cód. Produto";Fabricante;"Categoria de Produto";Fornecedor;"Sub Categoria";"Cód. Fornecedor";Website;"Ficha do Produto";"Cód. Fabricante";"Plano de Contas";"Data Criação";"Criado Por";"Data Modificação";"Última Edição";"Comprimento (mm)";"Largura (mm)";"Espessura (mm)";"Preço Unitário";"Preço Custo";"Categoria de Impostos";"Comissão %";"Unidade Utilizada";"Qtd. Uni";"Qtd. Stock";"Nível Reabastecimento";Responsável;"Qtd. Última Compra";"Imagem Produto";Descrição;"Detalhe "
"Caneta Laranja";PRO0003;1;;"Fam Art";"Para Profissionais";;Canetas;;;;5418;;"24-01-2024 21:47:04";admin;"13-11-2025 17:50:42";marcop;0;;;0.7;;;0;Each;1.00;573.000;0;admin;0;caneta-laranja.png;;"Descubra a Esferográfica Trocum, a caneta perfeita para quem valoriza elegância e funcionalidade no dia a dia. Com seu design bicolor e acabamento em alumínio, oferece conforto e estilo ao escrever.

Material: Alumínio
Mecanismo: Pulsador
Design: Elegante de duas cores
Versões de cor: Variedade
Clipe: Original
Detalhes: Anéis e ponta prateados
Cartucho: Jumbo
Tinta: Azul
Carga: Jumbo
A Esferográfica Trocum é uma excelente escolha para quem procura uma caneta de alta qualidade e durabilidade. Feita em alumínio resistente, é ideal tanto para uso pessoal quanto profissional. Sua tinta azul assegura uma escrita fluída e contínua, enquanto o mecanismo pulsador garante praticidade. O design sofisticado com clipe original e detalhes prateados realça sua beleza, fazendo da Esferográfica Trocum um objeto de destaque na categoria de escrita. Perfeita para o ambiente corporativo, escolar ou para o seu dia a dia, ela certamente adicionará um toque de classe as suas anotações. Escolha a cor que mais combina com seu estilo e deixe que a Esferográfica Trocum seja sua companheira de confiança para registrar momentos importantes"
"Caneta Vermelha";PRO0004;1;;"Fam Art";"Para Profissionais";;Canetas;;;;5418;;"25-01-2024 14:25:31";admin;"08-04-2026 11:01:28";marcop;0;;;0.7;0.27;;0;Each;1.00;'-8.000;0;admin;0;caneta-vermelha.png;;"Descubra a Esferográfica Trocum, a caneta perfeita para quem valoriza elegância e funcionalidade no dia a dia. Com seu design bicolor e acabamento em alumínio, oferece conforto e estilo ao escrever.

Material: Alumínio
Mecanismo: Pulsador
Design: Elegante de duas cores
Versões de cor: Variedade
Clipe: Original
Detalhes: Anéis e ponta prateados
Cartucho: Jumbo
Tinta: Azul
Carga: Jumbo
A Esferográfica Trocum é uma excelente escolha para quem procura uma caneta de alta qualidade e durabilidade. Feita em alumínio resistente, é ideal tanto para uso pessoal quanto profissional. Sua tinta azul assegura uma escrita fluída e contínua, enquanto o mecanismo pulsador garante praticidade. O design sofisticado com clipe original e detalhes prateados realça sua beleza, fazendo da Esferográfica Trocum um objeto de destaque na categoria de escrita. Perfeita para o ambiente corporativo, escolar ou para o seu dia a dia, ela certamente adicionará um toque de classe as suas anotações. Escolha a cor que mais combina com seu estilo e deixe que a Esferográfica Trocum seja sua companheira de confiança para registrar momentos importantes"
"Caneta Azul";PRO0005;1;;"Fam Art";"Para Profissionais";;Canetas;;;;5418;;"25-01-2024 14:25:47";admin;"11-06-2026 10:48:01";marcop;0;;;0.7;;;0;Each;1.00;'-65.000;0;admin;0;caneta-azul.png;;"Descubra a Esferográfica Trocum, a caneta perfeita para quem valoriza elegância e funcionalidade no dia a dia. Com seu design bicolor e acabamento em alumínio, oferece conforto e estilo ao escrever.

Material: Alumínio
Mecanismo: Pulsador
Design: Elegante de duas cores
Versões de cor: Variedade
Clipe: Original
Detalhes: Anéis e ponta prateados
Cartucho: Jumbo
Tinta: Azul
Carga: Jumbo
A Esferográfica Trocum é uma excelente escolha para quem procura uma caneta de alta qualidade e durabilidade. Feita em alumínio resistente, é ideal tanto para uso pessoal quanto profissional. Sua tinta azul assegura uma escrita fluída e contínua, enquanto o mecanismo pulsador garante praticidade. O design sofisticado com clipe original e detalhes prateados realça sua beleza, fazendo da Esferográfica Trocum um objeto de destaque na categoria de escrita. Perfeita para o ambiente corporativo, escolar ou para o seu dia a dia, ela certamente adicionará um toque de classe as suas anotações. Escolha a cor que mais combina com seu estilo e deixe que a Esferográfica Trocum seja sua companheira de confiança para registrar momentos importantes"
"Caneta Preta";PRO0006;1;;"Fam Art";"Para Profissionais";;Canetas;;;;5418;;"25-01-2024 14:26:03";admin;"11-03-2026 11:49:04";marcop;0;;;0.7;;;0;Each;1.00;263.000;0;admin;0;caneta-preta.png;;"Descubra a Esferográfica Trocum, a caneta perfeita para quem valoriza elegância e funcionalidade no dia a dia. Com seu design bicolor e acabamento em alumínio, oferece conforto e estilo ao escrever.

Material: Alumínio
Mecanismo: Pulsador
Design: Elegante de duas cores
Versões de cor: Variedade
Clipe: Original
Detalhes: Anéis e ponta prateados
Cartucho: Jumbo
Tinta: Azul
Carga: Jumbo
A Esferográfica Trocum é uma excelente escolha para quem procura uma caneta de alta qualidade e durabilidade. Feita em alumínio resistente, é ideal tanto para uso pessoal quanto profissional. Sua tinta azul assegura uma escrita fluída e contínua, enquanto o mecanismo pulsador garante praticidade. O design sofisticado com clipe original e detalhes prateados realça sua beleza, fazendo da Esferográfica Trocum um objeto de destaque na categoria de escrita. Perfeita para o ambiente corporativo, escolar ou para o seu dia a dia, ela certamente adicionará um toque de classe as suas anotações. Escolha a cor que mais combina com seu estilo e deixe que a Esferográfica Trocum seja sua companheira de confiança para registrar momentos importantes"
"Coração C/ Íman";PRO0007;1;;"Fam Art";Outros;;Iman;;;;;;"25-01-2024 16:08:08";admin;"04-02-2024 17:48:55";marcop;90;80;3;1.2;;;0;Each;1.00;999880.000;0;admin;0;Imagem-WhatsApp-2024-01-22-__s-20.25.33_50d8f87b.jpg;;
"Iman N2 Modelo 1";PRO0008;1;;"Fam Art";Outros;;Iman;;;;;;"25-01-2024 22:12:12";admin;"04-02-2024 17:48:55";marcop;0;;;2.5;1.5;;0;Each;1.00;999990.000;0;admin;0;;"Imanes Para N2";
"Iman N2 Modelo 2";PRO0009;1;;"Fam Art";Outros;;Iman;;;;;;"26-01-2024 13:17:09";admin;"04-02-2024 17:48:55";marcop;0;;;2.5;1.5;;0;Each;1.00;999987.000;0;admin;0;;"Imanes Para N2";
"Iman N2 Modelo 3";PRO0010;1;;"Fam Art";Outros;;Iman;;;;;;"26-01-2024 13:17:20";admin;"04-02-2024 17:48:55";marcop;0;;;2.5;1.5;;0;Each;1.00;999987.000;0;admin;0;;"Imanes Para N2";
"Iman N2 Modelo 4";PRO0011;1;;"Fam Art";Outros;;Iman;;;;;;"26-01-2024 13:17:40";admin;"04-02-2024 17:48:55";marcop;0;;;2.5;1.5;;0;Each;1.00;999987.000;0;admin;0;;"Imanes Para N2";
"MOLDURA LED C/ ACRILICO";PRO0012;1;;"Fam Art";"Eventos Diversos";;"Dia dos Namorados";;;;MOLLED2C;;"26-01-2024 13:23:29";admin;"14-02-2026 10:14:17";marcop;230;170;;30;11.43;;0;Each;1.00;'-3.000;0;admin;0;Moldura-de-Acrilico.png;;"MOLDURA LED 17X23 COM ACRILICO
Moldura LED com acrílico para gravação a laser
Utilize o acrílico para transformar a moldura numa autêntica obra de arte. Versátil o suficiente para colocar em mesas(apoio incluído), como luz noturna, como parte da decoração de férias, etc.

Dimensões: 17x23 cm
Material: Madeira Polida
Cor do LED: Amarelo(warm)
Lifespan do LED: 10000horas
Controlo: InterruptorAlimentação: Cabo USB(incorporado) Transformador não incluído
Apoio para moldura incluído.
Acrílico Incluído.Embalamento: Vendido em caixa de cartão individual"
